Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Adjudicaciones:ID de Adjudicación,Entrega compilada:Adjudicaciones:Valor:Monto,Entrega compilada:Adjudicaciones:Valor:Moneda,Entrega compilada:Adjudicaciones:Valor:Nombre de Moneda,Entrega compilada:Adjudicaciones:Fecha de adjudicación
ocds-dgv273-seacev3-2025-44-9,ocds-dgv273-seacev3-2025-44-9-2026-05-29T10:32:30.516469-05:00,1109246-1682132,4126191.68,PEN,Soles,2025-05-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-15,ocds-dgv273-seacev3-2025-200360-15-2026-05-29T10:32:19.741146-05:00,1111917-1681398,379935.0,PEN,Soles,2025-05-20T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-23,ocds-dgv273-seacev3-2025-200360-23-2026-05-29T10:32:19.702682-05:00,1114260-1681959,55350.0,PEN,Soles,2025-06-12T00:00:00-05:00
ocds-dgv273-seacev3-2025-1285-5,ocds-dgv273-seacev3-2025-1285-5-2026-05-29T10:32:19.524761-05:00,1109194-1680147,12934895.38,PEN,Soles,2025-05-12T00:00:00-05:00
ocds-dgv273-seacev3-1123227,ocds-dgv273-seacev3-1123227-2026-05-29T10:32:08.314025-05:00,1123227-1695344,36558135.59,PEN,Soles,2025-06-18T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-11,ocds-dgv273-seacev3-2025-200360-11-2026-05-29T10:32:08.297954-05:00,1110746-1676736,472725.0,PEN,Soles,2025-05-20T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-18,ocds-dgv273-seacev3-2025-200360-18-2026-05-29T10:32:08.264101-05:00,1110630-1687307,503190.0,PEN,Soles,2025-06-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-10,ocds-dgv273-seacev3-2025-200360-10-2026-05-29T10:32:08.248238-05:00,1110698-1676591,331515.0,PEN,Soles,2025-05-20T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-13,ocds-dgv273-seacev3-2025-200360-13-2026-05-29T10:31:57.404113-05:00,1110796-1678275,146700.0,PEN,Soles,2025-05-20T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-12,ocds-dgv273-seacev3-2025-200360-12-2026-05-29T10:31:35.290373-05:00,1110781-1678228,189180.0,PEN,Soles,2025-05-20T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-19,ocds-dgv273-seacev3-2025-200360-19-2026-05-29T10:31:35.273209-05:00,1110598-1686599,635040.0,PEN,Soles,2025-06-24T00:00:00-05:00
ocds-dgv273-seacev3-2025-1886-101,ocds-dgv273-seacev3-2025-1886-101-2026-05-29T10:31:35.237132-05:00,1110256-1689282,8758929.48,PEN,Soles,2025-05-30T00:00:00-05:00
ocds-dgv273-seacev3-2025-200360-16,ocds-dgv273-seacev3-2025-200360-16-2026-05-29T10:31:35.202380-05:00,1111997-1681998,301410.0,PEN,Soles,2025-05-27T00:00:00-05:00
ocds-dgv273-seacev3-2025-200407-9,ocds-dgv273-seacev3-2025-200407-9-2026-05-28T10:20:39.387491-05:00,1111263-1688259,9118100.95,PEN,Soles,2025-05-30T00:00:00-05:00
ocds-dgv273-seacev3-2025-42-74,ocds-dgv273-seacev3-2025-42-74-2026-05-28T10:20:39.328833-05:00,1109238-1686762,24874441.38,PEN,Soles,2025-05-29T00:00:00-05:00
ocds-dgv273-seacev3-2025-10373-4,ocds-dgv273-seacev3-2025-10373-4-2026-05-28T10:20:39.290294-05:00,1105537-1691082,5800867.78,PEN,Soles,2025-06-10T00:00:00-05:00
ocds-dgv273-seacev3-2025-1598-19,ocds-dgv273-seacev3-2025-1598-19-2026-05-28T10:20:29.337959-05:00,1109813-1703201,16200550.69,PEN,Soles,2025-07-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-200407-14,ocds-dgv273-seacev3-2025-200407-14-2026-05-28T10:20:29.317989-05:00,1109344-1686549,962079.96,PEN,Soles,2025-06-05T00:00:00-05:00
ocds-dgv273-seacev3-2025-200506-15,ocds-dgv273-seacev3-2025-200506-15-2026-05-28T10:20:29.262241-05:00,1113754-20447368375,844525.2,PEN,Soles,2025-06-06T00:00:00-05:00
ocds-dgv273-seacev3-1132337,ocds-dgv273-seacev3-1132337-2026-05-28T10:20:29.152621-05:00,1132337-1704082,28049982.66,PEN,Soles,2025-07-31T00:00:00-05:00
ocds-dgv273-seacev3-1132337,ocds-dgv273-seacev3-1132337-2026-05-28T10:20:29.152621-05:00,1132337-1704311,28049982.66,PEN,Soles,2025-09-05T00:00:00-05:00
ocds-dgv273-seacev3-1135281,ocds-dgv273-seacev3-1135281-2026-05-28T10:20:19.549411-05:00,1135281-1703995,21335142.24,PEN,Soles,2025-07-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-37-293,ocds-dgv273-seacev3-2025-37-293-2026-05-28T10:20:19.378280-05:00,1114158-10421848608,229000.0,PEN,Soles,2025-05-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-42-80,ocds-dgv273-seacev3-2025-42-80-2026-05-28T10:19:46.378342-05:00,1109975-1686353,13680730.61,PEN,Soles,2025-05-30T00:00:00-05:00
ocds-dgv273-seacev3-2025-874-12,ocds-dgv273-seacev3-2025-874-12-2026-05-28T10:19:35.406483-05:00,1104552-1666347,4607212.82,PEN,Soles,2025-04-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-2407-5,ocds-dgv273-seacev3-2025-2407-5-2026-05-28T10:19:35.382282-05:00,1108008-20119916705,8242695.9,PEN,Soles,2025-06-04T00:00:00-05:00
ocds-dgv273-seacev3-2025-10523-2,ocds-dgv273-seacev3-2025-10523-2-2026-05-28T10:19:24.236176-05:00,1107538-1689389,846846.22,PEN,Soles,2025-06-02T00:00:00-05:00
ocds-dgv273-seacev3-2025-162-25,ocds-dgv273-seacev3-2025-162-25-2026-05-27T10:40:25.701835-05:00,1113452-1678382,3090505.61,PEN,Soles,2025-05-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-406-47,ocds-dgv273-seacev3-2025-406-47-2026-05-27T10:40:15.581911-05:00,1112674-10423344909,86754.6,PEN,Soles,2025-06-13T00:00:00-05:00
ocds-dgv273-seacev3-2025-10432-13,ocds-dgv273-seacev3-2025-10432-13-2026-05-27T10:39:42.660632-05:00,1104963-1667195,1780724.23,PEN,Soles,2025-04-16T00:00:00-05:00
ocds-dgv273-seacev3-1115698,ocds-dgv273-seacev3-1115698-2026-05-27T10:39:31.988542-05:00,1115698-1678642,395000.0,PEN,Soles,2025-05-08T00:00:00-05:00
ocds-dgv273-seacev3-2025-10015-36,ocds-dgv273-seacev3-2025-10015-36-2026-05-25T10:07:30.063170-05:00,1107663-20481450510,3820960.94,PEN,Soles,2025-11-27T00:00:00-05:00
ocds-dgv273-seacev3-1114837,ocds-dgv273-seacev3-1114837-2026-05-24T10:09:03.048008-05:00,1114837-20553404631,49980.0,PEN,Soles,2025-05-12T00:00:00-05:00
ocds-dgv273-seacev3-1109091,ocds-dgv273-seacev3-1109091-2026-05-24T10:08:54.458222-05:00,1109091-20536426168,743580.0,PEN,Soles,2025-04-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-1555-18,ocds-dgv273-seacev3-2025-1555-18-2026-05-24T10:08:54.423744-05:00,1114620-1678632,159000.0,PEN,Soles,2025-07-09T00:00:00-05:00
ocds-dgv273-seacev3-2025-1929-7,ocds-dgv273-seacev3-2025-1929-7-2026-05-24T10:08:44.244722-05:00,1112634-20608369032,123220.0,PEN,Soles,2025-05-14T00:00:00-05:00
ocds-dgv273-seacev3-1109942,ocds-dgv273-seacev3-1109942-2026-05-24T10:08:44.230319-05:00,1109942-20613895800,205000.0,PEN,Soles,2025-04-28T00:00:00-05:00
ocds-dgv273-seacev3-2025-1536-23,ocds-dgv273-seacev3-2025-1536-23-2026-05-24T10:08:35.591622-05:00,1108891-1686962,333000.0,PEN,Soles,2025-06-03T00:00:00-05:00
ocds-dgv273-seacev3-1124319,ocds-dgv273-seacev3-1124319-2026-05-24T10:08:25.311237-05:00,1124319-20118375140,1519500.0,PEN,Soles,2025-07-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-10446-37,ocds-dgv273-seacev3-2025-10446-37-2026-05-24T10:08:25.233357-05:00,1108176-10440452260,141840.0,PEN,Soles,2025-05-09T00:00:00-05:00
ocds-dgv273-seacev3-2025-42-58,ocds-dgv273-seacev3-2025-42-58-2026-05-24T10:08:25.206740-05:00,1108048-1673107,181449.08,PEN,Soles,2025-05-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-2381-29,ocds-dgv273-seacev3-2025-2381-29-2026-05-24T10:08:25.173573-05:00,1105122-20483806974,1628328.0,PEN,Soles,2025-05-12T00:00:00-05:00
ocds-dgv273-seacev3-2025-10194-68,ocds-dgv273-seacev3-2025-10194-68-2026-05-23T10:25:09.918046-05:00,1111414-20603867018,168000.0,PEN,Soles,2025-05-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-20008-15,ocds-dgv273-seacev3-2025-20008-15-2026-05-23T10:24:49.890512-05:00,1108539-20106897914,387726.0,PEN,Soles,2025-05-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-1926-68,ocds-dgv273-seacev3-2025-1926-68-2026-05-23T10:24:49.849969-05:00,1111384-99000020466,30573.8,EUR,Euro,2025-05-08T00:00:00-05:00
ocds-dgv273-seacev3-2025-200270-72,ocds-dgv273-seacev3-2025-200270-72-2026-05-23T10:24:39.933403-05:00,1114511-1678102,450000.0,PEN,Soles,2025-06-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-1926-55,ocds-dgv273-seacev3-2025-1926-55-2026-05-23T10:24:28.570205-05:00,1106742-20562742787,98500.0,PEN,Soles,2025-04-25T00:00:00-05:00
ocds-dgv273-seacev3-2025-1039-5,ocds-dgv273-seacev3-2025-1039-5-2026-05-23T10:24:28.552784-05:00,1105207-1670339,165317.64,PEN,Soles,2025-04-30T00:00:00-05:00
ocds-dgv273-seacev3-1113051,ocds-dgv273-seacev3-1113051-2026-05-23T10:24:07.033750-05:00,1113051-1688959,7675768.8,PEN,Soles,2025-06-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-43-111,ocds-dgv273-seacev3-2025-43-111-2026-05-23T10:23:55.732746-05:00,1112206-1687974,5418720.35,PEN,Soles,2025-06-03T00:00:00-05:00
ocds-dgv273-seacev3-2025-820-10,ocds-dgv273-seacev3-2025-820-10-2026-05-22T10:33:26.437205-05:00,1106890-20518498682,201000.0,PEN,Soles,2025-04-21T00:00:00-05:00
ocds-dgv273-seacev3-1109198,ocds-dgv273-seacev3-1109198-2026-05-22T10:33:26.422999-05:00,1109198-10405651641,45600.0,PEN,Soles,2025-04-14T00:00:00-05:00
ocds-dgv273-seacev3-2025-20008-2,ocds-dgv273-seacev3-2025-20008-2-2026-05-22T10:33:26.368187-05:00,1110812-20299468845,149000.0,PEN,Soles,2025-05-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-1325-13,ocds-dgv273-seacev3-2025-1325-13-2026-05-22T10:33:15.990396-05:00,1107868-20565740181,2064302.68,PEN,Soles,2025-06-02T00:00:00-05:00
ocds-dgv273-seacev3-1117340,ocds-dgv273-seacev3-1117340-2026-05-22T10:33:04.218431-05:00,1117340-1698050,226736750.83,PEN,Soles,2025-07-01T00:00:00-05:00
ocds-dgv273-seacev3-1115946,ocds-dgv273-seacev3-1115946-2026-05-22T10:32:53.101632-05:00,1115946-20486344190,106700.0,PEN,Soles,2025-05-09T00:00:00-05:00
ocds-dgv273-seacev3-2025-27-3,ocds-dgv273-seacev3-2025-27-3-2026-05-22T10:32:42.178688-05:00,1113562-20418896915,858479.17,PEN,Soles,2025-05-28T00:00:00-05:00
ocds-dgv273-seacev3-2025-10446-43,ocds-dgv273-seacev3-2025-10446-43-2026-05-22T10:32:31.602933-05:00,1109400-20601107407,118800.0,PEN,Soles,2025-05-28T00:00:00-05:00
ocds-dgv273-seacev3-2025-20008-25,ocds-dgv273-seacev3-2025-20008-25-2026-05-22T10:32:31.587213-05:00,1110861-20299468845,179000.0,PEN,Soles,2025-05-28T00:00:00-05:00
ocds-dgv273-seacev3-1109779,ocds-dgv273-seacev3-1109779-2026-05-22T10:32:09.047380-05:00,1109779-1685352,22825470.09,PEN,Soles,2025-05-29T00:00:00-05:00
ocds-dgv273-seacev3-1115212,ocds-dgv273-seacev3-1115212-2026-05-22T10:32:08.985609-05:00,1115212-1674113,1744113.44,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-200276-870,ocds-dgv273-seacev3-2025-200276-870-2026-05-22T10:32:08.969012-05:00,1113572-20552075341,5592000.0,PEN,Soles,2025-06-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-1321-21,ocds-dgv273-seacev3-2025-1321-21-2026-05-21T10:32:33.653541-05:00,1113962-1678280,1591397.37,PEN,Soles,2025-05-15T00:00:00-05:00
ocds-dgv273-seacev3-1104330,ocds-dgv273-seacev3-1104330-2026-05-21T10:32:23.352566-05:00,1104330-20546803849,398725.78,PEN,Soles,2025-04-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-1307-75,ocds-dgv273-seacev3-2025-1307-75-2026-05-21T10:32:22.842447-05:00,1107036-20550812984,1511640.49,PEN,Soles,2025-06-06T00:00:00-05:00
ocds-dgv273-seacev3-1106899,ocds-dgv273-seacev3-1106899-2026-05-21T10:32:22.824926-05:00,1106899-1676408,837577.16,PEN,Soles,2025-05-14T00:00:00-05:00
ocds-dgv273-seacev3-2025-1922-153,ocds-dgv273-seacev3-2025-1922-153-2026-05-21T10:32:11.945119-05:00,1104792-20516530686,339600.0,PEN,Soles,2025-04-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-2000-221,ocds-dgv273-seacev3-2025-2000-221-2026-05-21T10:31:28.111719-05:00,1108907-1697241,11147893.42,PEN,Soles,2025-07-11T00:00:00-05:00
ocds-dgv273-seacev3-2025-49-367,ocds-dgv273-seacev3-2025-49-367-2026-05-21T10:31:16.484340-05:00,1112178-1695317,1269278.2,PEN,Soles,2025-07-10T00:00:00-05:00
ocds-dgv273-seacev3-2025-1682-4,ocds-dgv273-seacev3-2025-1682-4-2026-05-20T10:31:33.448788-05:00,1104329-1667008,219757.0,PEN,Soles,2025-04-23T00:00:00-05:00
ocds-dgv273-seacev3-2025-1003002825-1,ocds-dgv273-seacev3-2025-1003002825-1-2026-05-20T10:31:24.745867-05:00,1107116-20609356635,76210.4,PEN,Soles,2025-06-03T00:00:00-05:00
ocds-dgv273-seacev3-2025-400-31,ocds-dgv273-seacev3-2025-400-31-2026-05-20T10:31:14.171211-05:00,1113514-20454571259,148960.0,PEN,Soles,2025-05-09T00:00:00-05:00
ocds-dgv273-seacev3-2025-1487-2,ocds-dgv273-seacev3-2025-1487-2-2026-05-20T10:31:02.844887-05:00,1104731-20606416165,594864.0,PEN,Soles,2025-04-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-1307-99,ocds-dgv273-seacev3-2025-1307-99-2026-05-20T10:30:52.358263-05:00,1111967-1682254,940785.44,PEN,Soles,2025-06-26T00:00:00-05:00
ocds-dgv273-seacev3-2025-1555-17,ocds-dgv273-seacev3-2025-1555-17-2026-05-20T10:30:52.337937-05:00,1114314-1678645,192000.0,PEN,Soles,2025-06-05T00:00:00-05:00
ocds-dgv273-seacev3-2025-2409-133,ocds-dgv273-seacev3-2025-2409-133-2026-05-20T10:30:30.851991-05:00,1109154-20509190560,278518.76,USD,Dólar Norteamericano,2025-10-07T00:00:00-05:00
ocds-dgv273-seacev3-2025-650-3,ocds-dgv273-seacev3-2025-650-3-2026-05-20T10:30:26.496641-05:00,1103746-1667327,629669.32,PEN,Soles,2025-04-14T00:00:00-05:00
ocds-dgv273-seacev3-1184706,ocds-dgv273-seacev3-1184706-2026-05-20T10:30:19.452753-05:00,1184706-1760221,849441.17,PEN,Soles,2026-01-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-10403-49,ocds-dgv273-seacev3-2025-10403-49-2026-05-20T10:30:19.049315-05:00,1110612-1682206,108000.0,PEN,Soles,2025-05-16T00:00:00-05:00
ocds-dgv273-seacev3-1106922,ocds-dgv273-seacev3-1106922-2026-05-20T10:30:19.014525-05:00,1106922-20568921179,121492.8,PEN,Soles,2025-04-09T00:00:00-05:00
ocds-dgv273-seacev3-1116453,ocds-dgv273-seacev3-1116453-2026-05-17T10:13:08.909246-05:00,1116453-1680848,7225778.11,PEN,Soles,2025-05-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-1900-33,ocds-dgv273-seacev3-2025-1900-33-2026-05-17T10:13:08.868423-05:00,1108538-20498394303,11809592.8,PEN,Soles,2025-06-03T00:00:00-05:00
ocds-dgv273-seacev3-2025-200231-10,ocds-dgv273-seacev3-2025-200231-10-2026-05-17T10:13:08.838211-05:00,1104389-20603391382,812706.29,PEN,Soles,2025-08-21T00:00:00-05:00
ocds-dgv273-seacev3-1170221,ocds-dgv273-seacev3-1170221-2026-05-17T10:13:00.774000-05:00,1170221-20543254798,279666666.68,PEN,Soles,2026-04-15T00:00:00-05:00
ocds-dgv273-seacev3-1112600,ocds-dgv273-seacev3-1112600-2026-05-17T10:12:59.675554-05:00,1112600-1688362,17425977.96,PEN,Soles,2025-05-28T00:00:00-05:00
ocds-dgv273-seacev3-2025-398-21,ocds-dgv273-seacev3-2025-398-21-2026-05-17T10:12:51.180884-05:00,1105890-10423344909,53883.0,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-1115557,ocds-dgv273-seacev3-1115557-2026-05-17T10:12:51.164107-05:00,1115557-1677077,1287904.61,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-1756-39,ocds-dgv273-seacev3-2025-1756-39-2026-05-17T10:12:41.803467-05:00,1111781-1680854,725546.92,PEN,Soles,2025-05-15T00:00:00-05:00
ocds-dgv273-seacev3-2025-200407-10,ocds-dgv273-seacev3-2025-200407-10-2026-05-17T10:12:41.773000-05:00,1111135-1673914,455944.5,PEN,Soles,2025-05-06T00:00:00-05:00
ocds-dgv273-seacev3-2025-1002998637-7,ocds-dgv273-seacev3-2025-1002998637-7-2026-05-17T10:12:31.769309-05:00,1111217-1710878,15382782.35,PEN,Soles,2025-08-21T00:00:00-05:00
ocds-dgv273-seacev3-2025-2384-35,ocds-dgv273-seacev3-2025-2384-35-2026-05-17T10:12:31.673027-05:00,1113182-1702458,850000.0,PEN,Soles,2025-08-11T00:00:00-05:00
ocds-dgv273-seacev3-2025-2384-35,ocds-dgv273-seacev3-2025-2384-35-2026-05-17T10:12:31.673027-05:00,1113182-20478099241,13925106.0,PEN,Soles,2025-08-11T00:00:00-05:00
ocds-dgv273-seacev3-2025-1025-22,ocds-dgv273-seacev3-2025-1025-22-2026-05-16T10:22:25.949777-05:00,1104624-1682133,270000.0,PEN,Soles,2025-06-19T00:00:00-05:00
ocds-dgv273-seacev3-2025-1003002825-3,ocds-dgv273-seacev3-2025-1003002825-3-2026-05-16T10:22:25.913691-05:00,1107774-20609356635,104160.0,PEN,Soles,2025-05-08T00:00:00-05:00
ocds-dgv273-seacev3-1198773,ocds-dgv273-seacev3-1198773-2026-05-16T10:22:19.578175-05:00,1198773-1774242,4851323.39,PEN,Soles,2026-03-27T00:00:00-05:00
ocds-dgv273-seacev3-1198773,ocds-dgv273-seacev3-1198773-2026-05-16T10:22:19.578175-05:00,1198773-20605056084,5137904.26,PEN,Soles,2026-03-27T00:00:00-05:00
ocds-dgv273-seacev3-1108355,ocds-dgv273-seacev3-1108355-2026-05-16T10:22:15.045350-05:00,1108355-10422879990,48000.0,PEN,Soles,2025-04-11T00:00:00-05:00
ocds-dgv273-seacev3-1121112,ocds-dgv273-seacev3-1121112-2026-05-16T10:22:04.343268-05:00,1121112-1691302,1397089.52,PEN,Soles,2025-06-18T00:00:00-05:00
ocds-dgv273-seacev3-2025-1158-17,ocds-dgv273-seacev3-2025-1158-17-2026-05-16T10:22:04.240199-05:00,1110204-1674219,618919.21,PEN,Soles,2025-05-05T00:00:00-05:00
